CC_ID	Mating
CC(003x062)/F1	13067x5306
CC(019x027)/F1	16513x8027
CC(046x068)/F1	5346x16768
CC(030x023)/F1	8034x8043
CC(022x044)/F1	8046x4410
CC(022x024)/F1	8046x8004
CC(041x016)/F1	16441x8024
CC(029x071)/F1	3564x16785
CC(029x027)/F1	3564x8027
CC(008x010)/F1	8036x18018
CC(028x024)/F1	8016x8004
CC(019x002)/F1	16513x15156
CC(008x009)/F1	8036x15489
CC(008x018)/F1	8036x3609
CC(039x020)/F1	15155x8054
CC(038x013)/F1	8049x8010
CC(058x022)/F1	5358x8046
CC(061x025)/F1	8048x8008
CC(037x046)/F1	16072x5346
CC(006x039)/F1	16750x15155
CC(013x041)/F1	8010x16441
CC(071x053)/F1	16785x773
CC(005x038)/F1	16211x8049
CC(033x046)/F1	8033x5346
CC(032x017)/F1	8002x3032
CC(007x070)/F1	13421x16034
CC(020x008)/F1	8054x8036
CC(055x028)/F1	16680x8016
CC(016x038)/F1	8024x8049
CC(023x025)/F1	8043x8008
CC(070x003)/F1	16034x13067
CC(012x038)/F1	8005x8049
CC(019x004)/F1	16513x16188
CC(017x004)/F1	3032x16188
CC(012x004)/F1	8005x16188
CC(071x058)/F1	16785x5358
CC(074x062)/F1	3015x5306
CC(074x058)/F1	3015x5358
CC(033x068)/F1	8033x16768
CC(040x015)/F1	16557x3154
CC(059x065)/F1	16012x15119
CC(045x044)/F1	8045x4410
CC(044x060)/F1	4410x3460
CC(065x072)/F1	15119x16521
CC(051x009)/F1	16912x5489
CC(075x021)/F1	3260x1566
CC(001x055)/F1	13140x16680
CC(002x021)/F1	15156x1566
CC(021x023)/F1	1566x8043
CC(037x057)/F1	16072x3393
CC(068x035)/F1	16768x5035
CC(068x043)/F1	16768x8021
CC(010x060)/F1	18018x3460
CC(011x032)/F1	3252x8002
CC(057x052)/F1	3393x8052
CC(062x072)/F1	5306x16521
CC(024x052)/F1	8004x8052
CC(016x061)/F1	8024x8048
CC(061x026)/F1	8048x8026
CC(052x007)/F1	8052x13421
CC(056x033)/F1	8056x8033
CC(007x075)/F1	13421x3260
CC(002x011)/F1	15156x3252
CC(005x040)/F1	16211x16557
CC(072x075)/F1	16521x3260
CC(072x063)/F1	16521x5391
CC(055x006)/F1	16680x16750
CC(006x007)/F1	16750x13421
CC(015x059)/F1	3154x16012
CC(015x018)/F1	3154x3609
CC(075x035)/F1	3260x5035
CC(060x037)/F1	3460x16072
CC(060x006)/F1	3460x16750
CC(018x065)/F1	3609x5119
CC(036x051)/F1	477x16912
CC(035x071)/F1	5035x16785
CC(035x020)/F1	5035x8054
CC(063x002)/F1	5391x15156
CC(009x040)/F1	5489x16557
CC(032x013)/F1	8002x8010
CC(043x033)/F1	8021x8033
CC(027x036)/F1	8027x477
