ID	Mating	RIX_ID	UW_Line	UWID	Cohort	Sex	Virus	Timepoint	Lab	D12_Percentage	dam_null_prob	dam_p_prob	dam_wc_prob	sire_null_prob	sire_p_prob	sire_wc_prob	Oas1b_status
13067x16912_133	13067x16912	133	17	1.12	2	M	WNV	12	Gale	0.0362581580855749	0	0	1	1	0	0	High
13067x16912_134	13067x16912	134	17	2.12	2	M	WNV	12	Gale	5.45631698603443	0	0	1	1	0	0	High
13067x16912_135	13067x16912	135	17	3.12	2	M	WNV	12	Gale	-5.01309390198279	0	0	1	1	0	0	High
13067x5306_47	13067x5306	47	63	1.12	1	M	WNV	12	Gale	8.3157450401013	0	0	1	1	0	0	High
13067x5306_58	13067x5306	58	63	2.12	1	M	WNV	12	Gale	8.42671447781265	0	0	1	1	0	0	High
13067x5306_64	13067x5306	64	63	3.12	1	M	WNV	12	Gale	10.3874690849134	0	0	1	1	0	0	High
13140x16680_51	13140x16680	51	48	1.12	1	M	WNV	12	Gale	-12.0335429769392	1	0	0	1	0	0	Low
13140x16680_52	13140x16680	52	48	2.12	1	M	WNV	12	Gale	-18.8338926174497	1	0	0	1	0	0	Low
13421x16034_29	13421x16034	29	78	1.12	2	M	WNV	12	Gale	3.46720600982376	1	0	0	0	1	0	Mod
13421x16034_30	13421x16034	30	78	2.12	2	M	WNV	12	Gale	1.21728545343883	1	0	0	0	1	0	Mod
13421x16034_33	13421x16034	33	78	3.12	2	M	WNV	12	Gale	-9.18367346938775	1	0	0	0	1	0	Mod
13421x3260_37	13421x3260	37	93	1.12	4	M	WNV	12	Gale	-9.76347634763476	1	0	0	1	0	0	Low
13421x3260_42	13421x3260	42	93	3.12	4	M	WNV	12	Gale	0.519143413367943	1	0	0	1	0	0	Low
15119x16521_24	15119x16521	24	96	3.12	2	M	WNV	12	Gale	-9.34302638664512	1	0	0	1	0	0	Low
15155x8054_11	15155x8054	11	43	1.12	1	M	WNV	12	Gale	-1.12809315866084	0	0	1	1	0	0	High
15155x8054_12	15155x8054	12	43	2.12	1	M	WNV	12	Gale	4.23322683706071	0	0	1	1	0	0	High
15155x8054_13	15155x8054	13	43	3.12	1	M	WNV	12	Gale	1.52477763659466	0	0	1	1	0	0	High
15156x1566_359	15156x1566	359	3	1.12	2	M	WNV	12	Gale	-17.5742574257426	1	0	0	1	0	0	Low
15156x1566_360	15156x1566	360	3	2.12	2	M	WNV	12	Gale	-22.3286661753869	1	0	0	1	0	0	Low
15156x1566_361	15156x1566	361	3	3.13	2	M	WNV	12	Gale	-16.8918918918919	1	0	0	1	0	0	Low
15156x3252_17	15156x3252	17	19	2.12	1	M	WNV	12	Gale	-5.92441266598571	1	0	0	1	0	0	Low
15156x3252_31	15156x3252	31	19	3.12	1	M	WNV	12	Gale	-14.6839546191248	1	0	0	1	0	0	Low
16012x15119_65	16012x15119	65	55	3.12	2	M	WNV	12	Gale	-11.7572291070861	1	0	0	1	0	0	Low
16034x13067_34	16034x13067	34	79	1.12	2	M	WNV	12	Gale	2.07612456747406	0	1	0	0	0	1	High
16034x13067_36	16034x13067	36	79	2.12	2	M	WNV	12	Gale	2.93122886133033	0	1	0	0	0	1	High
16034x13067_42	16034x13067	42	79	3.12	2	M	WNV	12	Gale	4.87804878048781	0	1	0	0	0	1	High
16072x3393_152	16072x3393	152	56	1.12	2	M	WNV	12	Gale	-14.5701958181215	1	0	0	1	0	0	Low
16072x3393_153	16072x3393	153	56	2.12	2	M	WNV	12	Gale	-23.2030704815073	1	0	0	1	0	0	Low
16072x5346_61	16072x5346	61	81	1.12	2	M	WNV	12	Gale	3.45345345345345	1	0	0	0	0	1	High
16072x5346_68	16072x5346	68	81	3.12	2	M	WNV	12	Gale	4.1407867494824	1	0	0	0	0	1	High
16188x3252_248	16188x3252	248	4	1.12	3	M	WNV	12	Gale	-14.9664214902462	7e-09	0.999999993	0	1	0	0	Mod
16188x3252_249	16188x3252	249	4	2.12	3	M	WNV	12	Gale	1.30742049469965	7e-09	0.999999993	0	1	0	0	Mod
16188x3252_252	16188x3252	252	4	3.12	3	M	WNV	12	Gale	3.57708135485913	7e-09	0.999999993	0	1	0	0	Mod
16188x8005_87	16188x8005	87	25	1.12	2	M	WNV	12	Gale	-1.66903409090909	7e-09	0.999999993	0	0	0	1	High
16188x8005_88	16188x8005	88	25	2.12	2	M	WNV	12	Gale	-0.144613159797538	7e-09	0.999999993	0	0	0	1	High
16188x8005_89	16188x8005	89	25	3.12	2	M	WNV	12	Gale	1.82969739619986	7e-09	0.999999993	0	0	0	1	High
16211x13140_66	16211x13140	66	8	1.12	2	M	WNV	12	Gale	-17.4357034795764	1	0	0	1	0	0	Low
16211x16557_140	16211x16557	140	39	1.12	5	M	WNV	12	Gale	2.11166785969935	1	0	0	1	0	0	Low
16211x16557_141	16211x16557	141	39	2.12	5	M	WNV	12	Gale	-12.0695904313157	1	0	0	1	0	0	Low
16211x16557_142	16211x16557	142	39	3.12	5	M	WNV	12	Gale	-3.31210191082803	1	0	0	1	0	0	Low
16211x8049_44	16211x8049	44	110	1.12	3	M	WNV	12	Gale	-7.91100123609394	1	0	0	2e-09	0.999999998	0	Mod
16211x8049_45	16211x8049	45	110	2.12	3	M	WNV	12	Gale	-6.41376613218616	1	0	0	2e-09	0.999999998	0	Mod
16211x8049_46	16211x8049	46	110	3.12	3	M	WNV	12	Gale	6.82105263157895	1	0	0	2e-09	0.999999998	0	Mod
16441x8005_110	16441x8005	110	7	1.12	1	M	WNV	12	Gale	2.66958424507658	0	0	1	0	0	1	High
16441x8005_111	16441x8005	111	7	2.12	1	M	WNV	12	Gale	-4.33333333333333	0	0	1	0	0	1	High
16441x8005_112	16441x8005	112	7	3.12	1	M	WNV	12	Gale	1.25581395348837	0	0	1	0	0	1	High
16441x8024_124	16441x8024	124	45	1.12	3	M	WNV	12	Gale	6.57019945248338	0	0	1	1	0	0	High
16441x8024_125	16441x8024	125	45	2.12	3	M	WNV	12	Gale	4.58883994126285	0	0	1	1	0	0	High
16441x8024_126	16441x8024	126	45	3.12	3	M	WNV	12	Gale	1.18406889128094	0	0	1	1	0	0	High
16513x15156_127	16513x15156	127	9	1.12	5	M	WNV	12	Gale	-2.36065573770491	1e-09	0	0.999999999	1	0	0	High
16513x15156_138	16513x15156	138	9	2.12	5	M	WNV	12	Gale	1.03571428571428	1e-09	0	0.999999999	1	0	0	High
16513x15156_142	16513x15156	142	9	3.12	5	M	WNV	12	Gale	0.72664359861592	1e-09	0	0.999999999	1	0	0	High
16513x15156_282	16513x15156	282	9	4.12	8	M	WNV	12	Gale	7.67684887459807	1e-09	0	0.999999999	1	0	0	High
16513x15156_283	16513x15156	283	9	5.12	8	M	WNV	12	Gale	3.90905464698843	1e-09	0	0.999999999	1	0	0	High
