ID,Mating,RIX_ID,UW_Line,UWID,Virus,Timepoint,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
13067x16912_133,13067x16912,133,17,1.12,WNV,12,0,0,0,0,0,0,0,0,0,0,0,0,0
13067x16912_134,13067x16912,134,17,2.12,WNV,12,0,0,0,0,0,0,0,0,0,0,0,0,0
13067x16912_135,13067x16912,135,17,3.12,WNV,12,0,0,0,0,0,0,0,0,0,0,0,0,0
13067x16912_172,13067x16912,172,17,1.4,WNV,4,0,0,0,0,0,,,,,,,,
13067x16912_173,13067x16912,173,17,2.4,WNV,4,0,0,0,0,0,,,,,,,,
13067x16912_174,13067x16912,174,17,3.4,WNV,4,0,0,0,0,0,,,,,,,,
13067x16912_175,13067x16912,175,17,1.7,WNV,7,0,0,0,0,0,0,0,0,,,,,
13067x16912_176,13067x16912,176,17,2.7,WNV,7,0,0,0,0,0,0,0,0,,,,,
13067x16912_181,13067x16912,181,17,3.7,WNV,7,0,0,0,0,0,0,0,0,,,,,
13067x16912_32,13067x16912,32,17,1.2,WNV,2,0,0,0,,,,,,,,,,
13067x16912_33,13067x16912,33,17,2.2,WNV,2,0,0,0,,,,,,,,,,
13067x16912_51,13067x16912,51,17,3.2,WNV,2,0,0,0,,,,,,,,,,
13067x5306_36,13067x5306,36,63,1.2,WNV,2,0,0,0,,,,,,,,,,
13067x5306_37,13067x5306,37,63,2.2,WNV,2,0,0,0,,,,,,,,,,
13067x5306_38,13067x5306,38,63,3.2,WNV,2,0,0,0,,,,,,,,,,
13067x5306_45,13067x5306,45,63,1.4,WNV,4,0,0,0,0,0,,,,,,,,
13067x5306_46,13067x5306,46,63,1.7,WNV,7,0,0,0,0,0,0,0,0,,,,,
13067x5306_47,13067x5306,47,63,1.12,WNV,12,0,0,0,0,0,0,0,0,0,0,0,0,0
13067x5306_48,13067x5306,48,63,2.4,WNV,4,0,0,0,0,0,,,,,,,,
13067x5306_49,13067x5306,49,63,2.7,WNV,7,0,0,0,0,0,0,0,0,,,,,
13067x5306_56,13067x5306,56,63,3.4,WNV,4,0,0,0,0,0,,,,,,,,
13067x5306_57,13067x5306,57,63,3.7,WNV,7,0,0,0,0,0,0,0,0,,,,,
13067x5306_58,13067x5306,58,63,2.12,WNV,12,0,0,0,0,0,0,0,0,0,0,0,0,0
13067x5306_64,13067x5306,64,63,3.12,WNV,12,0,0,0,0,0,0,0,0,0,0,0,0,0
13140x16680_49,13140x16680,49,48,1.7,WNV,7,0,0,0,0,0,0,0,0,,,,,
13140x16680_50,13140x16680,50,48,2.7,WNV,7,0,0,0,0,0,0,0,0,,,,,
13140x16680_51,13140x16680,51,48,1.12,WNV,12,0,0,0,0,0,0,0,0,0,1,2,2,2
13140x16680_52,13140x16680,52,48,2.12,WNV,12,0,0,0,0,0,0,0,0,0,1,2,2,2
13140x16680_53,13140x16680,53,48,3.12,WNV,12,0,0,0,0,0,0,0,0,0,1,2,,
13140x16680_60,13140x16680,60,48,3.7,WNV,7,0,0,0,0,0,0,0,0,,,,,
13140x16680_66,13140x16680,66,48,1.2,WNV,2,0,0,0,,,,,,,,,,
13140x16680_67,13140x16680,67,48,2.2,WNV,2,0,0,0,,,,,,,,,,
13140x16680_68,13140x16680,68,48,3.2,WNV,2,0,0,0,,,,,,,,,,
13140x16680_74,13140x16680,74,48,1.4,WNV,4,0,0,0,0,0,,,,,,,,
13140x16680_78,13140x16680,78,48,2.4,WNV,4,0,0,0,0,0,,,,,,,,
13140x16680_79,13140x16680,79,48,3.4,WNV,4,0,0,0,0,0,,,,,,,,
13140x3015_261,13140x3015,261,2,1.2,WNV,2,0,0,0,,,,,,,,,,
13140x3015_262,13140x3015,262,2,2.2,WNV,2,0,0,0,,,,,,,,,,
13140x3015_267,13140x3015,267,2,3.2,WNV,2,0,0,0,,,,,,,,,,
13140x3015_333,13140x3015,333,2,1.4,WNV,4,0,0,0,0,0,,,,,,,,
13140x3015_334,13140x3015,334,2,2.4,WNV,4,0,0,0,0,0,,,,,,,,
13140x3015_335,13140x3015,335,2,3.4,WNV,4,0,0,0,0,0,,,,,,,,
13421x16034_10,13421x16034,10,78,1.7,WNV,7,0,0,0,0,0,0,0,0,,,,,
13421x16034_13,13421x16034,13,78,2.2,WNV,2,0,0,0,,,,,,,,,,
13421x16034_14,13421x16034,14,78,3.2,WNV,2,0,0,0,,,,,,,,,,
13421x16034_15,13421x16034,15,78,2.4,WNV,4,0,0,0,0,0,,,,,,,,
13421x16034_16,13421x16034,16,78,2.7,WNV,7,0,0,0,0,0,0,0,0,,,,,
13421x16034_19,13421x16034,19,78,3.4,WNV,4,0,0,0,0,0,,,,,,,,
13421x16034_21,13421x16034,21,78,3.7,WNV,7,0,0,0,0,0,0,0,0,,,,,
13421x16034_29,13421x16034,29,78,1.12,WNV,12,0,0,0,0,0,0,0,0,0,0,0,0,0
13421x16034_30,13421x16034,30,78,2.12,WNV,12,0,0,0,0,0,0,0,0,0,0,0,0,0
13421x16034_33,13421x16034,33,78,3.12,WNV,12,0,0,0,0,0,0,0,0,0,0,0,0,0
13421x16034_8,13421x16034,8,78,1.2,WNV,2,0,0,0,,,,,,,,,,
13421x16034_9,13421x16034,9,78,1.4,WNV,4,0,0,0,0,0,,,,,,,,
