Mating,CC_Mating,A,B,C,D,E,F,G,H,Null_prob,P_prob,WC_prob,Oas1b_status,dam_null_prob,dam_p_prob,dam_wc_prob,sire_null_prob,sire_p_prob,sire_wc_prob
13067x16912,CC003xCC051,1E-20,1E-20,1E-20,1E-20,0.5,1E-20,1E-20,0.5,0.5,1E-20,0.5,High,0,0,1,1,0,0
13067x5306,CC003xCC062,1E-20,1E-20,0.0000002,0.499999801,1E-20,1E-20,1E-20,0.5,0.5,1E-20,0.5,High,0,0,1,1,0,0
13140x16680,CC001xCC055,1E-20,0.5,1E-20,1E-20,0.5,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
13421x16034,CC007xCC070,1E-20,1E-20,0.00000116,0.499998844,1E-20,1E-20,0.5,1E-20,0.5,0.5,2E-20,Mod,1,0,0,0,1,0
13421x3260,CC007xCC075,0.499974355,1E-20,0.0000268,0.499998844,1E-20,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
15119x16521,CC065xCC072,0.00000332,1E-20,0.999996678,1E-20,1E-20,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
15155x8054,CC039xCC020,0.499976605,1E-20,0.0000234,1E-20,1E-20,1E-20,1E-20,0.5,0.5,1E-20,0.5,High,0,0,1,1,0,0
15156x1566,CC002xCC021,0.500110673,1E-20,0.499889326,1.25E-09,1E-20,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
15156x3252,CC002xCC011,0.499997905,0.5,0.00000209,1E-20,1E-20,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
16012x15119,CC059xCC065,0.00000332,1E-20,0.499996679,1E-20,0.5,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
16034x13067,CC070xCC003,1E-20,1E-20,1E-20,1E-20,1E-20,1E-20,0.5,0.5,5E-20,0.5,0.5,High,0,1,0,0,0,1
16072x3393,CC037xCC057,1E-20,0.499999998,0.000000002,1E-20,0.5,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
16072x5346,CC037xCC046,1E-20,0.499999998,0.000000002,1E-20,1E-20,0.5,1E-20,1E-20,0.5,1E-20,0.5,High,1,0,0,0,0,1
16188x3252,CC004xCC011,1E-20,0.5,3.5E-09,1E-20,1E-20,1E-20,0.499999997,1E-20,0.500000004,0.499999997,2E-20,Mod,0.000000007,0.999999993,0,1,0,0
16188x8005,CC004xCC012,1E-20,1E-20,3.5E-09,1E-20,1E-20,1E-20,0.499999997,0.5,3.5E-09,0.499999997,0.5,High,0.000000007,0.999999993,0,0,0,1
16211x13140,CC005xCC001,1E-20,0.999999998,0.000000002,1E-20,1E-20,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
16211x16557,CC005xCC040,1E-20,0.874999998,2.5E-09,0.125,1E-20,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
16211x8049,CC005xCC038,1E-20,0.499999998,0.000000003,1E-20,1E-20,1E-20,0.499999999,1E-20,0.500000001,0.499999999,2E-20,Mod,1,0,0,0.000000002,0.999999998,0
16441x8005,CC041xCC012,1E-20,1E-20,1E-20,1E-20,1E-20,0.5,1E-20,0.5,5E-20,1E-20,1,High,0,0,1,0,0,1
16441x8024,CC041xCC016,0.499971858,1E-20,0.0000281,1E-20,1E-20,0.5,1E-20,1E-20,0.5,1E-20,0.5,High,0,0,1,1,0,0
16513x15156,CC019xCC002,0.499997905,1E-20,0.0000021,1E-20,1E-20,1E-20,1E-20,0.5,0.500000001,1E-20,0.5,High,0.000000001,0,0.999999999,1,0,0
16513x16188,CC019xCC004,1E-20,1E-20,0.000000004,1E-20,1E-20,1E-20,0.499999997,0.5,0.000000004,0.499999997,0.5,High,0.000000001,0,0.999999999,0.000000007,0.999999993,0
16513x8027,CC019xCC027,1E-20,0.499999998,2.5E-09,1E-20,1E-20,1E-20,1E-20,0.5,0.500000001,1E-20,0.5,High,0.000000001,0,0.999999999,1,0,0
16521x3260,CC072xCC075,0.499974356,1E-20,0.500025644,2.5E-10,1E-20,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
16521x5391,CC072xCC063,0.000000001,1E-20,0.500000008,0.499999991,1E-20,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
16557x13067,CC040xCC003,1E-20,0.375,5E-10,0.125,1E-20,1E-20,1E-20,0.5,0.5,1E-20,0.5,High,1,0,0,0,0,1
16680x16750,CC055xCC006,1E-20,1E-20,1E-20,1E-20,1,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
16680x8016,CC055xCC028,1E-20,1E-20,3.5E-09,1E-20,0.5,1E-20,0.499999997,1E-20,0.500000004,0.499999997,2E-20,Mod,1,0,0,0.000000007,0.999999993,0
16750x13421,CC006xCC007,1E-20,1E-20,0.00000116,0.499998844,0.5,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
16750x15155,CC006xCC039,1E-20,1E-20,1E-20,1E-20,0.5,1E-20,1E-20,0.5,0.5,1E-20,0.5,High,1,0,0,0,0,1
16768x5035,CC068xCC035,0.499960729,0.499999997,0.0000393,1E-20,1E-20,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
16768x8021,CC068xCC043,0.0000104,0.499999997,0.499989606,1E-20,1E-20,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
16785x773,CC071xCC053,0.10087981,1E-20,0.399120189,2.5E-09,1E-20,1E-20,1E-20,0.5,0.500000001,1E-20,0.5,High,1,0,0,0.000000001,0,0.999999999
16912x16211,CC051xCC005,1E-20,0.499999998,0.000000002,1E-20,0.5,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
16912x5489,CC051xCC009,1E-20,1E-20,1E-20,1E-20,1,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
18018x3460,CC010xCC060,0.0000065,1E-20,0.0000065,0.499986998,0.5,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
3015x5358,CC074xCC058,1E-20,1E-20,0.500000001,0.499999999,1E-20,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
3032x16188,CC017xCC004,1E-20,1E-20,3.5E-09,1E-20,1E-20,1E-20,0.499999997,0.5,3.5E-09,0.499999997,0.5,High,0,0,1,0.000000007,0.999999993,0
3032x16441,CC017xCC041,1E-20,1E-20,1E-20,1E-20,1E-20,0.5,1E-20,0.5,5E-20,1E-20,1,High,0,0,1,0,0,1
3154x16012,CC015xCC059,0.499958367,1E-20,0.0000416,1E-20,0.5,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
3154x3609,CC015xCC018,0.499958367,1E-20,0.0000427,0.499998921,1E-20,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
3252x8002,CC011xCC032,0.0000117,0.750143104,0.249842861,0.00000212,5.28E-08,1E-20,0.000000125,1E-20,0.999999875,0.000000125,2E-20,Low,1,0,0,0.99999975,0.00000025,0
3252x8042,CC011xCC042,1E-20,0.5,1E-20,1E-20,1E-20,1E-20,1E-20,0.5,0.5,1E-20,0.5,High,1,0,0,0,0,1
3260x1566,CC075xCC021,0.500087123,1E-20,0.499912876,1.5E-09,1E-20,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
3260x5035,CC075xCC035,0.999935084,1E-20,0.0000649,2.5E-10,1E-20,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
3393x8052,CC057xCC052,1E-20,1E-20,1E-20,1E-20,1,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
3460x16072,CC060xCC037,0.0000065,0.499999998,0.0000065,0.499986998,1E-20,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
3564x16785,CC029xCC071,0.10087981,1E-20,0.399120188,2.5E-09,1E-20,0.5,1E-20,1E-20,0.5,1E-20,0.5,High,0,0,1,1,0,0
3564x8027,CC029xCC027,1E-20,0.499999998,0.000000002,1E-20,1E-20,0.5,1E-20,1E-20,0.5,1E-20,0.5,High,0,0,1,1,0,0
3609x5119,CC018xCC065,0.00000332,1E-20,0.499997759,0.499998921,1E-20,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
3609x5489,CC018xCC009,1E-20,1E-20,0.00000108,0.499998921,0.5,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
4410x3460,CC044xCC060,0.0000065,1E-20,0.0000065,0.499986998,0.5,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
477x16912,CC036xCC051,1E-20,0.499999996,0.000000004,1E-20,0.5,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
5119x8018,CC065xCC010,0.00000332,1E-20,0.499996679,1E-20,0.5,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
5306x16521,CC062xCC072,0.000000001,1E-20,0.500000199,0.499999801,1E-20,1E-20,1E-20,1E-20,1,1E-20,2E-20,Low,1,0,0,1,0,0
5346x16768,CC046xCC068,1E-20,0.499999997,3.5E-09,1E-20,1E-20,0.5,1E-20,1E-20,0.5,1E-20,0.5,High,0,0,1,1,0,0
