Mating,UNC_ID,Oas1b_status,Virus,Tissue,Timepoint,fc.mean
13140x16680,CC(001x055)/F1,Null+Null,WNV,Brain,4,1.480869601
13140x16680,CC(001x055)/F1,Null+Null,WNV,Brain,7,3820.526178
13140x16680,CC(001x055)/F1,Null+Null,WNV,Brain,12,112071.1635
13140x16680,CC(001x055)/F1,Null+Null,WNV,Spleen,2,124.3274117
13140x16680,CC(001x055)/F1,Null+Null,WNV,Spleen,4,134.0123834
13140x16680,CC(001x055)/F1,Null+Null,WNV,Spleen,7,7.953309533
13140x16680,CC(001x055)/F1,Null+Null,WNV,Spleen,12,4.390005899
15156x3252,CC(002x011)/F1,Null+Null,WNV,Brain,4,2.112409336
15156x3252,CC(002x011)/F1,Null+Null,WNV,Brain,7,2.85534798
15156x3252,CC(002x011)/F1,Null+Null,WNV,Brain,12,4409.130692
15156x3252,CC(002x011)/F1,Null+Null,WNV,Spleen,2,162.4792596
15156x3252,CC(002x011)/F1,Null+Null,WNV,Spleen,4,178.2249084
15156x3252,CC(002x011)/F1,Null+Null,WNV,Spleen,7,5.944958412
15156x3252,CC(002x011)/F1,Null+Null,WNV,Spleen,12,2.11330414
15156x1566,CC(002x021)/F1,Null+Null,WNV,Brain,4,0.412335017
15156x1566,CC(002x021)/F1,Null+Null,WNV,Brain,7,39.76853621
15156x1566,CC(002x021)/F1,Null+Null,WNV,Brain,12,154247.6398
15156x1566,CC(002x021)/F1,Null+Null,WNV,Spleen,2,38.7556121
15156x1566,CC(002x021)/F1,Null+Null,WNV,Spleen,4,326.0865467
15156x1566,CC(002x021)/F1,Null+Null,WNV,Spleen,7,44.79709683
15156x1566,CC(002x021)/F1,Null+Null,WNV,Spleen,12,4.239647869
13067x5306,CC(003x062)/F1,Functional+Null,WNV,Brain,4,1.9629187
13067x5306,CC(003x062)/F1,Functional+Null,WNV,Brain,7,0.992098939
13067x5306,CC(003x062)/F1,Functional+Null,WNV,Brain,12,6.763538241
13067x5306,CC(003x062)/F1,Functional+Null,WNV,Spleen,2,82.55786345
13067x5306,CC(003x062)/F1,Functional+Null,WNV,Spleen,4,322.2420473
13067x5306,CC(003x062)/F1,Functional+Null,WNV,Spleen,7,32.23001975
13067x5306,CC(003x062)/F1,Functional+Null,WNV,Spleen,12,4.262401631
16211x8049,CC(005x038)/F1,Null+Functional,WNV,Brain,4,1.455428891
16211x8049,CC(005x038)/F1,Null+Functional,WNV,Brain,7,1583.72985
16211x8049,CC(005x038)/F1,Null+Functional,WNV,Brain,12,12.83786335
16211x8049,CC(005x038)/F1,Null+Functional,WNV,Spleen,2,78.4300112
16211x8049,CC(005x038)/F1,Null+Functional,WNV,Spleen,4,1.999076525
16211x8049,CC(005x038)/F1,Null+Functional,WNV,Spleen,7,7.000434486
16211x8049,CC(005x038)/F1,Null+Functional,WNV,Spleen,12,0.677206159
16211x16557,CC(005x040)/F1,Null+Null,WNV,Brain,4,1.154463209
16211x16557,CC(005x040)/F1,Null+Null,WNV,Brain,7,189.2741247
16211x16557,CC(005x040)/F1,Null+Null,WNV,Brain,12,526.0699451
16211x16557,CC(005x040)/F1,Null+Null,WNV,Spleen,2,6.188830707
16211x16557,CC(005x040)/F1,Null+Null,WNV,Spleen,4,235.5136138
16211x16557,CC(005x040)/F1,Null+Null,WNV,Spleen,7,12.68259044
16211x16557,CC(005x040)/F1,Null+Null,WNV,Spleen,12,1.034866467
16750x13421,CC(006x007)/F1,Null+Null,WNV,Brain,4,1.398292629
16750x13421,CC(006x007)/F1,Null+Null,WNV,Brain,7,146.119001
16750x13421,CC(006x007)/F1,Null+Null,WNV,Brain,12,7548.636117
16750x13421,CC(006x007)/F1,Null+Null,WNV,Spleen,2,69.42259103
